,IMG_1868.jpg,IMG_1890.jpg,IMG_1901.jpg,IMG_2304.jpg,IMG_2367.jpg,IMG_2420.jpg,IMG_6201.jpg,IMG_7743.jpg,IMG_7776.jpg,IMG_8096.jpg
canon,0.88 ± 0.11,0.72 ± 0.20,0.60 ± 0.24,0.60 ± 0.24,0.36 ± 0.23,0.82 ± 0.14,0.76 ± 0.18,0.40 ± 0.24,0.72 ± 0.20,0.64 ± 0.23
gw,0.40 ± 0.24,0.34 ± 0.21,0.44 ± 0.25,0.28 ± 0.20,0.24 ± 0.18,0.48 ± 0.25,0.20 ± 0.16,0.48 ± 0.25,0.40 ± 0.24,0.24 ± 0.18
iwp,0.36 ± 0.23,0.28 ± 0.20,0.28 ± 0.20,0.54 ± 0.24,0.44 ± 0.25,0.36 ± 0.23,0.52 ± 0.25,0.56 ± 0.25,0.40 ± 0.24,0.40 ± 0.24
photographer,0.80 ± 0.16,0.72 ± 0.20,0.82 ± 0.14,0.64 ± 0.23,0.68 ± 0.22,0.84 ± 0.13,0.80 ± 0.16,0.32 ± 0.22,0.72 ± 0.20,0.80 ± 0.16
sog,0.24 ± 0.18,0.50 ± 0.24,0.48 ± 0.25,0.48 ± 0.25,0.64 ± 0.23,0.22 ± 0.16,0.40 ± 0.24,0.56 ± 0.25,0.28 ± 0.20,0.48 ± 0.25
wp,0.32 ± 0.22,0.44 ± 0.25,0.38 ± 0.23,0.46 ± 0.24,0.64 ± 0.23,0.28 ± 0.20,0.32 ± 0.22,0.68 ± 0.22,0.48 ± 0.25,0.44 ± 0.25
